Date,Close,High,Low,Open,Volume,symbol
,PRIMO.NS,PRIMO.NS,PRIMO.NS,PRIMO.NS,PRIMO.NS,
2025-04-22,27.959999084472656,29.479999542236328,27.799999237060547,28.790000915527344,60302,PRIMO
2025-04-23,27.729999542236328,29.350000381469727,27.309999465942383,29.350000381469727,141835,PRIMO
2025-04-24,27.90999984741211,28.989999771118164,27.75,28.989999771118164,133650,PRIMO
2025-04-25,27.34000015258789,28.399999618530273,26.559999465942383,28.399999618530273,69535,PRIMO
2025-04-28,26.90999984741211,27.790000915527344,26.700000762939453,27.790000915527344,46230,PRIMO
2025-04-29,26.579999923706055,27.3799991607666,26.399999618530273,27.290000915527344,77154,PRIMO
2025-04-30,25.860000610351562,27.290000915527344,25.100000381469727,26.600000381469727,39740,PRIMO
2025-05-02,25.030000686645508,26.389999389648438,24.989999771118164,26.389999389648438,31304,PRIMO
2025-05-05,25.579999923706055,25.989999771118164,25.25,25.700000762939453,42215,PRIMO
2025-05-06,24.3700008392334,25.989999771118164,23.600000381469727,25.940000534057617,77063,PRIMO
2025-05-07,25.100000381469727,25.75,23.40999984741211,23.700000762939453,32254,PRIMO
2025-05-08,25.09000015258789,25.969999313354492,24.600000381469727,25.600000381469727,29846,PRIMO
2025-05-09,24.3700008392334,24.93000030517578,23.75,24.209999084472656,62431,PRIMO
2025-05-12,24.969999313354492,27.040000915527344,23.8799991607666,26.200000762939453,208154,PRIMO
2025-05-13,25.6299991607666,25.8799991607666,24.670000076293945,25.43000030517578,36093,PRIMO
2025-05-14,25.780000686645508,26.100000381469727,24.809999465942383,24.809999465942383,71332,PRIMO
2025-05-15,25.8799991607666,26.690000534057617,25.520000457763672,25.989999771118164,170549,PRIMO
2025-05-16,25.760000228881836,26.84000015258789,25.110000610351562,26.299999237060547,237449,PRIMO
2025-05-19,25.610000610351562,26.600000381469727,25.299999237060547,25.770000457763672,228347,PRIMO
2025-05-20,25.3700008392334,25.989999771118164,25.110000610351562,25.989999771118164,64443,PRIMO
2025-05-21,25.68000030517578,25.989999771118164,25.219999313354492,25.530000686645508,47613,PRIMO
2025-05-22,25.440000534057617,25.899999618530273,25.25,25.899999618530273,40364,PRIMO
2025-05-23,25.270000457763672,25.989999771118164,24.209999084472656,25.049999237060547,106585,PRIMO
2025-05-26,25.959999084472656,26.299999237060547,25.270000457763672,25.270000457763672,135099,PRIMO
2025-05-27,25.969999313354492,26.360000610351562,25.579999923706055,25.959999084472656,115554,PRIMO
2025-05-28,25.760000228881836,26.770000457763672,25.6200008392334,25.969999313354492,198224,PRIMO
2025-05-29,25.770000457763672,26.100000381469727,25.100000381469727,25.760000228881836,86474,PRIMO
2025-05-30,25.959999084472656,26.350000381469727,25.549999237060547,26.149999618530273,270964,PRIMO
2025-06-02,25.6299991607666,26.950000762939453,25.549999237060547,26.100000381469727,217460,PRIMO
2025-06-03,25.440000534057617,25.989999771118164,24.979999542236328,25.979999542236328,137023,PRIMO
2025-06-04,24.969999313354492,25.510000228881836,24.700000762939453,25.510000228881836,131316,PRIMO
2025-06-05,24.93000030517578,25.860000610351562,24.75,25.040000915527344,140693,PRIMO
2025-06-06,24.610000610351562,25.5,23.75,24.950000762939453,181400,PRIMO
2025-06-09,25.68000030517578,26.729999542236328,24.6200008392334,24.940000534057617,287863,PRIMO
2025-06-10,25.459999084472656,26.270000457763672,25.25,25.68000030517578,194179,PRIMO
2025-06-11,25.959999084472656,26.799999237060547,25.510000228881836,25.93000030517578,394178,PRIMO
2025-06-12,27.440000534057617,28.8799991607666,25.829999923706055,25.899999618530273,1247920,PRIMO
2025-06-13,28.100000381469727,29.34000015258789,26.5,27.09000015258789,500847,PRIMO
2025-06-16,27.020000457763672,28.799999237060547,26.6200008392334,28.790000915527344,156597,PRIMO
2025-06-17,27.110000610351562,28.190000534057617,26.75,26.799999237060547,185721,PRIMO
2025-06-18,26.420000076293945,27.350000381469727,26.25,27.350000381469727,84341,PRIMO
2025-06-19,25.440000534057617,26.579999923706055,25.350000381469727,26.530000686645508,111153,PRIMO
2025-06-20,26.420000076293945,27.100000381469727,25.100000381469727,25.700000762939453,178718,PRIMO
2025-06-23,25.889999389648438,26.899999618530273,25.399999618530273,25.420000076293945,116593,PRIMO
2025-06-24,25.989999771118164,26.93000030517578,25.889999389648438,25.889999389648438,89862,PRIMO
2025-06-25,26.100000381469727,27.100000381469727,25.860000610351562,26.5,168920,PRIMO
2025-06-26,26.049999237060547,26.700000762939453,25.860000610351562,26.010000228881836,107243,PRIMO
2025-06-27,25.809999465942383,26.489999771118164,25.649999618530273,26.399999618530273,86330,PRIMO
