Date,Close,High,Low,Open,Volume,symbol
,GANESHHOU.NS,GANESHHOU.NS,GANESHHOU.NS,GANESHHOU.NS,GANESHHOU.NS,
2025-09-10,879.6500244140625,883.0,870.0,878.0499877929688,23808,GANESHHOU
2025-09-11,882.0499877929688,896.5499877929688,874.2999877929688,879.6500244140625,32551,GANESHHOU
2025-09-12,873.5,887.7000122070312,871.0,885.5999755859375,33177,GANESHHOU
2025-09-15,869.5999755859375,881.0,865.0,873.5,41552,GANESHHOU
2025-09-16,877.0,880.0,863.1500244140625,869.5,28296,GANESHHOU
2025-09-17,877.2000122070312,886.7999877929688,873.0,875.5999755859375,21340,GANESHHOU
2025-09-18,873.4500122070312,885.8499755859375,871.0,877.0,18083,GANESHHOU
2025-09-19,864.0499877929688,893.0,850.5999755859375,872.0999755859375,67612,GANESHHOU
2025-09-22,865.0499877929688,880.0,862.0,867.5999755859375,41006,GANESHHOU
2025-09-23,868.9000244140625,875.0499877929688,846.0,865.0499877929688,41329,GANESHHOU
2025-09-24,861.0999755859375,871.0499877929688,856.8499755859375,870.0999755859375,42476,GANESHHOU
2025-09-25,854.3499755859375,875.4000244140625,847.4000244140625,861.7000122070312,32042,GANESHHOU
2025-09-26,842.3499755859375,856.2999877929688,832.2000122070312,854.3499755859375,38258,GANESHHOU
2025-09-29,833.2999877929688,848.25,831.0,845.9500122070312,46257,GANESHHOU
2025-09-30,834.5499877929688,848.0,832.1500244140625,834.5999755859375,13832,GANESHHOU
2025-10-01,841.25,850.9500122070312,829.5,834.0,52794,GANESHHOU
2025-10-03,858.7999877929688,862.7999877929688,840.5,850.5,31075,GANESHHOU
2025-10-06,845.0499877929688,863.5999755859375,842.0,858.7999877929688,24308,GANESHHOU
2025-10-07,846.5,861.0,843.5499877929688,845.0,23691,GANESHHOU
2025-10-08,832.5,854.9500122070312,830.9500122070312,854.9500122070312,22875,GANESHHOU
2025-10-09,825.25,838.25,810.5,832.0,54896,GANESHHOU
2025-10-10,830.9500122070312,840.0,811.5499877929688,819.8499755859375,32419,GANESHHOU
2025-10-13,825.4500122070312,840.4000244140625,820.7999877929688,829.0,29229,GANESHHOU
2025-10-14,809.5499877929688,831.5,806.2000122070312,823.9000244140625,54756,GANESHHOU
2025-10-15,816.4000244140625,821.0,808.3499755859375,809.7999877929688,40054,GANESHHOU
2025-10-16,861.5999755859375,885.0,821.0999755859375,821.0999755859375,356730,GANESHHOU
2025-10-17,851.4500122070312,862.4500122070312,840.2999877929688,861.5999755859375,70697,GANESHHOU
2025-10-20,859.0999755859375,867.0,847.6500244140625,851.4500122070312,42180,GANESHHOU
2025-10-21,864.5,874.9500122070312,839.1500244140625,861.9500122070312,19447,GANESHHOU
2025-10-23,852.5,882.8499755859375,847.0,882.8499755859375,48989,GANESHHOU
2025-10-24,841.2000122070312,854.1500244140625,834.5499877929688,853.8499755859375,31412,GANESHHOU
2025-10-27,836.25,845.4500122070312,831.8499755859375,840.2999877929688,41246,GANESHHOU
2025-10-28,822.7000122070312,840.4000244140625,811.0,836.25,123025,GANESHHOU
2025-10-29,825.0499877929688,829.9000244140625,817.9500122070312,822.7000122070312,41402,GANESHHOU
2025-10-30,832.0499877929688,839.0,815.0,815.0,24858,GANESHHOU
2025-10-31,832.2000122070312,841.2000122070312,826.5499877929688,833.7000122070312,34341,GANESHHOU
2025-11-03,838.5499877929688,845.0,831.0999755859375,831.0999755859375,19409,GANESHHOU
2025-11-04,835.7000122070312,841.9000244140625,828.25,838.5499877929688,25233,GANESHHOU
2025-11-06,825.6500244140625,844.2000122070312,822.0,836.9500122070312,49477,GANESHHOU
2025-11-07,812.5,820.0,786.0999755859375,815.0,67285,GANESHHOU
2025-11-10,829.8499755859375,835.0,798.5,798.5,37953,GANESHHOU
2025-11-11,821.5999755859375,835.0,809.0,826.7999877929688,32322,GANESHHOU
2025-11-12,814.4500122070312,828.0499877929688,812.5,821.7000122070312,26414,GANESHHOU
2025-11-13,825.2999877929688,835.0,808.3499755859375,825.0,35783,GANESHHOU
2025-11-14,815.7000122070312,838.5999755859375,810.0,824.0,62718,GANESHHOU
2025-11-17,809.75,818.7999877929688,809.0,815.9500122070312,24044,GANESHHOU
2025-11-18,807.4000244140625,815.3499755859375,800.75,809.9500122070312,38893,GANESHHOU
2025-11-19,804.2999877929688,809.7999877929688,802.0,802.0,18536,GANESHHOU
2025-11-20,806.9000244140625,817.7000122070312,802.7000122070312,804.2999877929688,29686,GANESHHOU
2025-11-21,800.9000244140625,807.6500244140625,800.0,802.0,26784,GANESHHOU
2025-11-24,789.0999755859375,806.9000244140625,788.0,795.2000122070312,32244,GANESHHOU
2025-11-25,805.9500122070312,817.4000244140625,782.0,786.0999755859375,48584,GANESHHOU
2025-11-26,803.4000244140625,816.0,798.4000244140625,805.0999755859375,20252,GANESHHOU
2025-11-27,854.6500244140625,899.7000122070312,835.9500122070312,854.0,4272425,GANESHHOU
2025-11-28,838.4000244140625,860.0,830.5499877929688,850.0,168205,GANESHHOU
2025-12-01,833.2999877929688,847.9000244140625,830.0,831.0,53219,GANESHHOU
2025-12-02,832.2000122070312,846.5,827.7999877929688,833.7000122070312,70476,GANESHHOU
2025-12-03,816.1500244140625,832.7000122070312,809.0,832.0999755859375,53317,GANESHHOU
2025-12-04,810.0999755859375,823.25,806.0,816.0,36229,GANESHHOU
2025-12-05,801.8499755859375,819.0,800.0,808.0,29373,GANESHHOU
2025-12-08,791.5999755859375,809.7999877929688,788.0,799.9000244140625,47804,GANESHHOU
2025-12-09,835.2000122070312,848.9500122070312,779.1500244140625,789.0,140249,GANESHHOU
