Date,Close,High,Low,Open,Volume,symbol
,PIRAMALFIN.NS,PIRAMALFIN.NS,PIRAMALFIN.NS,PIRAMALFIN.NS,PIRAMALFIN.NS,
2025-11-07,1323.0,1323.0,1260.0,1260.0,1256400,PIRAMALFIN
2025-11-10,1389.0999755859375,1389.0999755859375,1325.0,1329.0,303811,PIRAMALFIN
2025-11-11,1456.0999755859375,1458.5,1365.0,1425.0,1043189,PIRAMALFIN
2025-11-12,1433.199951171875,1460.0,1383.300048828125,1450.0,523812,PIRAMALFIN
2025-11-14,1490.199951171875,1490.199951171875,1382.0,1388.0,477485,PIRAMALFIN
2025-11-17,1564.699951171875,1564.699951171875,1497.199951171875,1535.0,410686,PIRAMALFIN
2025-11-18,1642.9000244140625,1642.9000244140625,1537.0,1642.9000244140625,859551,PIRAMALFIN
2025-11-19,1600.699951171875,1695.0,1570.0999755859375,1695.0,267228,PIRAMALFIN
2025-11-20,1676.300048828125,1680.699951171875,1535.5999755859375,1579.0,359370,PIRAMALFIN
2025-11-21,1694.9000244140625,1784.0,1600.0999755859375,1648.0,1236557,PIRAMALFIN
2025-11-24,1590.4000244140625,1723.199951171875,1576.0,1700.0,390328,PIRAMALFIN
2025-11-25,1619.300048828125,1634.0,1498.199951171875,1597.0,552905,PIRAMALFIN
2025-11-26,1596.0,1638.0,1571.0,1634.9000244140625,203120,PIRAMALFIN
2025-11-27,1573.0,1606.0,1536.199951171875,1606.0,252475,PIRAMALFIN
2025-11-28,1548.699951171875,1612.5,1539.699951171875,1560.4000244140625,377998,PIRAMALFIN
2025-12-01,1555.0,1610.0,1533.4000244140625,1545.0,227264,PIRAMALFIN
2025-12-02,1516.800048828125,1552.0999755859375,1505.5,1522.0,289566,PIRAMALFIN
2025-12-03,1512.9000244140625,1526.199951171875,1465.0,1524.9000244140625,279344,PIRAMALFIN
2025-12-04,1500.800048828125,1522.300048828125,1475.0,1493.0,145729,PIRAMALFIN
2025-12-05,1484.5999755859375,1508.199951171875,1425.300048828125,1500.800048828125,426027,PIRAMALFIN
2025-12-08,1473.5999755859375,1493.5,1416.5,1465.0,244120,PIRAMALFIN
2025-12-09,1506.4000244140625,1527.0,1424.0999755859375,1448.0999755859375,318389,PIRAMALFIN
